# Table S4. Top-100 co-expression partners of Rv2516c in each of the two expression compendia used for the genome-wide, unbiased co-expression scan (3,911 genes each), ranked by Spearman correlation within each compendium. The top-50 subset used for the hypergeometric enrichment test against the four curated regulons (DosR, SigH, SigF, and the union of Rv2516c's five known upstream regulators) is flagged in the top50 column.
compendium	rank	partner_locus	product	spearman_r	p_value	q_BH	top50
GSE166501	95	Rv0793	monooxygenase	0.6313	4.142e-04	1.143e-03	no
GSE166501	96	Rv1994c	HTH-type transcriptional regulator CmtR	0.6294	4.356e-04	1.184e-03	no
GSE166501	97	Rv2100	hypothetical protein	0.6294	4.356e-04	1.184e-03	no
GSE166501	98	Rv1934c	acyl-CoA dehydrogenase FadE17	0.6294	4.356e-04	1.184e-03	no
GSE166501	99	Rv2015c	hypothetical protein	0.6294	4.356e-04	1.184e-03	no
GSE166501	100	Rv2016	hypothetical protein	0.6276	4.580e-04	1.232e-03	no
GSE71200	1	Rv2517c	hypothetical protein	0.5074	2.838e-08	7.841e-05	yes
GSE71200	2	Rv0579	hypothetical protein	0.4952	6.786e-08	7.841e-05	yes
GSE71200	3	Rv0830	S-adenosylmethionine-dependent methyltransferase	0.4852	1.354e-07	7.841e-05	yes
GSE71200	4	Rv1169c	lipase LipX	0.4788	2.084e-07	1.019e-04	yes
GSE71200	5	Rv3569c	4,5-9,10-diseco-3-hydroxy-5,9,17-trioxoandrosta-1(10),2-dien	0.4513	1.202e-06	3.056e-04	yes
GSE71200	6	Rv3286c	RNA polymerase sigma factor SigF	0.4507	1.249e-06	3.056e-04	yes
GSE71200	7	Rv1599	histidinol dehydrogenase	0.4475	1.518e-06	3.494e-04	yes
GSE71200	8	Rv0865	molybdopterin biosynthesis protein	0.4401	2.351e-06	4.842e-04	yes
GSE71200	9	Rv1833c	haloalkane dehalogenase	0.4320	3.768e-06	6.410e-04	yes
GSE71200	10	Rv1110	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	0.4256	5.406e-06	8.614e-04	yes
GSE71200	11	Rv2077c	transmembrane protein	0.4179	8.292e-06	1.159e-03	yes
GSE71200	12	Rv3582c	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	0.4152	9.631e-06	1.216e-03	yes
